Day of Month,Month,Year,Amount,Five Guys,Chick-Fil-A,Rocky Mountain Power,QuestarGas,Category
3,9,2021,-22.76,0,1,0,0,1
31,8,2021,-31.58,0,0,0,1,2
31,8,2021,-212.73,0,0,1,0,2
31,8,2021,-71,0,1,0,0,1
30,8,2021,-25.19,1,0,0,0,1
28,8,2021,-86.71,1,0,0,0,1
23,8,2021,-33.51,1,0,0,0,1
14,8,2021,-12.11,0,1,0,0,1
12,8,2021,-4.87,0,1,0,0,1
6,8,2021,-9.74,0,1,0,0,1
19,7,2021,-14.05,0,0,0,1,2
19,7,2021,-67.86,0,0,1,0,2
19,7,2021,-9.89,1,0,0,0,1
6,7,2021,-6.7,1,0,0,0,1
21,6,2021,-28.64,1,0,0,0,1
15,6,2021,-28.27,0,0,0,1,2
15,6,2021,-52.07,0,0,1,0,2
11,6,2021,-15.52,0,1,0,0,1
11,6,2021,-4.23,0,1,0,0,1
1,6,2021,-34.02,0,1,0,0,1
28,5,2021,-26.84,1,0,0,0,1
20,5,2021,-27.72,0,1,0,0,1
4,5,2021,-38.83,0,0,0,1,2
4,5,2021,-57.37,0,0,1,0,2
3,5,2021,-45.51,1,0,0,0,1
28,4,2021,-33.62,1,0,0,0,1
26,4,2021,-26.8,0,1,0,0,1
20,4,2021,-52.31,1,0,0,0,1
17,4,2021,-18.87,0,1,0,0,1
14,4,2021,-20.32,1,0,0,0,1
14,4,2021,-26.98,0,1,0,0,1
13,4,2021,-53.29,0,0,1,0,2
12,4,2021,-18.6,0,1,0,0,1
12,4,2021,-23.27,1,0,0,0,1
9,4,2021,-19.22,0,1,0,0,1
5,4,2021,-9.3,0,1,0,0,1
2,4,2021,-9.56,0,1,0,0,1
31,3,2021,-21.7,0,1,0,0,1
29,3,2021,-25.31,0,1,0,0,1
27,3,2021,-68.55,0,1,0,0,1
23,3,2021,-46,0,0,1,0,2
22,3,2021,-32.89,0,1,0,0,1
10,3,2021,-18.06,1,0,0,0,1
9,3,2021,-125,0,0,0,1,2
1,3,2021,-25.83,1,0,0,0,1
23,2,2021,-56.31,0,0,1,0,2
23,2,2021,-250.68,0,0,0,1,2
23,2,2021,-25.43,1,0,0,0,1
16,2,2021,-11.09,0,1,0,0,1
12,2,2021,-5.29,0,1,0,0,1
11,2,2021,-21.73,1,0,0,0,1
27,1,2021,-28.67,1,0,0,0,1
25,1,2021,-25.05,0,1,0,0,1
19,1,2021,-78.93,0,0,1,0,2
19,1,2021,-150.93,0,0,0,1,2
19,1,2021,-27.67,1,0,0,0,1
24,12,2020,-25.41,0,1,0,0,1
22,12,2020,-30.26,1,0,0,0,1
30,11,2020,-110.53,0,0,1,0,2
28,11,2020,-20.64,1,0,0,0,1
27,11,2020,-70.67,0,0,0,1,2
25,11,2020,-22.91,1,0,0,0,1
25,11,2020,-16.09,0,1,0,0,1
23,11,2020,-21.51,1,0,0,0,1
19,11,2020,-21.51,1,0,0,0,1
27,10,2020,-179,0,0,1,0,2
14,10,2020,-19.6,1,0,0,0,1
14,10,2020,-16.2,0,1,0,0,1
19,8,2020,-15.22,0,0,0,1,2
19,8,2020,-94.5,0,0,1,0,2
17,8,2020,-22.83,1,0,0,0,1
16,7,2020,-18.13,0,0,0,1,2
15,7,2020,-67.98,0,0,1,0,2
6,7,2020,-37.9,1,0,0,0,1
19,5,2020,-48.26,0,0,0,1,2
19,5,2020,-76.66,0,0,1,0,2
13,4,2020,-58.24,0,0,1,0,2
13,4,2020,-110.76,0,0,0,1,2
16,3,2020,-56.47,0,0,1,0,2
16,3,2020,-134.93,0,0,0,1,2
16,3,2020,-7.24,0,1,0,0,1
2,3,2020,-7.37,0,1,0,0,1